ID,Model_1,Model_2,Target
X77,0.3745401188473625,0.9695846277645586,0
X3,0.9507143064099162,0.7751328233611146,1
X99,0.7319939418114051,0.9394989415641891,0
K18,0.5986584841970366,0.8948273504276488,0
X13,0.15601864044243652,0.5978999788110851,1
X27,0.15599452033620265,0.9218742350231168,0
D7,0.05808361216819946,0.0884925020519195,1
X63,0.8661761457749352,0.1959828624191452,1
D20,0.6011150117432088,0.045227288910538066,1
G30,0.7080725777960455,0.32533033076326434,0
X98,0.020584494295802447,0.388677289689482,0
K91,0.9699098521619943,0.2713490317738959,0
E139,0.8324426408004217,0.8287375091519293,0
K86,0.21233911067827616,0.3567533266935893,0
X88,0.18182496720710062,0.28093450968738076,0
E11,0.18340450985343382,0.5426960831582485,0
X34,0.3042422429595377,0.14092422497476265,1
K80,0.5247564316322378,0.8021969807540397,0
K32,0.43194501864211576,0.07455064367977082,1
K14,0.2912291401980419,0.9868869366005173,0
B1,0.6118528947223795,0.7722447692966574,0
K5,0.13949386065204183,0.1987156815341724,0
K51,0.29214464853521815,0.005522117123602399,1
G12,0.3663618432936917,0.8154614284548342,1
E76,0.45606998421703593,0.7068573438476171,1
X22,0.7851759613930136,0.7290071680409873,1
K61,0.19967378215835974,0.7712703466859457,0
K7,0.5142344384136116,0.07404465173409036,1
X97,0.5924145688620425,0.3584657285442726,0
D60,0.046450412719997725,0.11586905952512971,0
X17,0.6075448519014384,0.8631034258755935,1
B27,0.17052412368729153,0.6232981268275579,1
K67,0.06505159298527952,0.3308980248526492,1
B28,0.9488855372533332,0.06355835028602363,1
D51,0.9656320330745594,0.3109823217156622,1
X76,0.8083973481164611,0.32518332202674705,1
E15,0.3046137691733707,0.7296061783380641,1
K3,0.09767211400638387,0.6375574713552131,1
X4,0.6842330265121569,0.8872127425763265,0
X69,0.4401524937396013,0.4722149251619493,1
G121,0.12203823484477883,0.1195942459383017,1
K48,0.4951769101112702,0.713244787222995,0
G136,0.034388521115218396,0.7607850486168974,1
G66,0.9093204020787821,0.5612771975694962,0
K50,0.2587799816000169,0.770967179954561,0
G116,0.662522284353982,0.49379559636439074,1
K84,0.31171107608941095,0.5227328293819941,0
K95,0.5200680211778108,0.42754101835854963,0
K24,0.5467102793432796,0.02541912674409519,0
K78,0.18485445552552704,0.10789142699330445,0
